number,symbol,name,atomic_mass,category,phase,discovered
1,H,Hydrogen,1.008,Nonmetal,Gas,1766
2,He,Helium,4.003,Noble Gas,Gas,1868
3,Li,Lithium,6.941,Alkali Metal,Solid,1817
4,Be,Beryllium,9.012,Alkaline Earth Metal,Solid,1798
5,B,Boron,10.81,Metalloid,Solid,1808
6,C,Carbon,12.011,Nonmetal,Solid,-3750
7,N,Nitrogen,14.007,Nonmetal,Gas,1772
8,O,Oxygen,15.999,Nonmetal,Gas,1774
9,F,Fluorine,18.998,Halogen,Gas,1886
10,Ne,Neon,20.18,Noble Gas,Gas,1898
11,Na,Sodium,22.99,Alkali Metal,Solid,1807
12,Mg,Magnesium,24.305,Alkaline Earth Metal,Solid,1808
13,Al,Aluminum,26.982,Post-transition Metal,Solid,1825
14,Si,Silicon,28.086,Metalloid,Solid,1824
15,P,Phosphorus,30.974,Nonmetal,Solid,1669
16,S,Sulfur,32.065,Nonmetal,Solid,-2000
17,Cl,Chlorine,35.453,Halogen,Gas,1774
18,Ar,Argon,39.948,Noble Gas,Gas,1894
19,K,Potassium,39.098,Alkali Metal,Solid,1807
20,Ca,Calcium,40.078,Alkaline Earth Metal,Solid,1808
26,Fe,Iron,55.845,Transition Metal,Solid,-5000
29,Cu,Copper,63.546,Transition Metal,Solid,-9000
30,Zn,Zinc,65.38,Transition Metal,Solid,1746
47,Ag,Silver,107.868,Transition Metal,Solid,-5000
79,Au,Gold,196.967,Transition Metal,Solid,-6000
